window_end,avg_tick_us,min_tick_us,max_tick_us,ticks_per_sec,fps,resource_field_pct,spatial_grid_pct,behavior_physics_pct,feeding_pct,energy_pct,cooldowns_pct,reproduction_pct,cleanup_pct,telemetry_pct
3061489,2453,564,28724,407.6059265901726,26.13308687393323,81.06381070780769,0.3275521226078627,14.18497156948662,1.4844600240487498,2.5369392870972343,0.13230888377117003,0.1387898180039538,0.0738989544907983,0.03798887235820409
3062088,2410,532,27342,414.86167267248084,26.29987113063146,81.59922537028478,0.30886451530466197,13.647331070401197,1.5100550023605628,2.5449274448420662,0.12126406692216614,0.13964243902155704,0.07077540135792523,0.03783538454773025
3062687,2385,532,27389,419.1961661995424,23.102112910005904,81.72606536609659,0.3049652109101671,13.554288837896003,1.5165678900767043,2.521129582757288,0.11498550838853448,0.1384185740790889,0.07122142863730226,0.033996809078782886
3063286,2361,530,27766,423.4381483896647,23.047139258858852,82.17901271161323,0.3217283051464672,13.107062101438844,1.4644608362056555,2.5431271754134874,0.12504128521946797,0.1380408363750307,0.06885104292815948,0.03438317764924077
3063885,2351,517,27337,425.29465476919046,22.307279382791485,82.35626848171084,0.3029799120575713,13.070665683952484,1.4181450263278657,2.4836357249211187,0.10870531375900508,0.13992194141906367,0.06621837774756295,0.03478910276011978
3064484,2387,534,28337,418.8393960335909,22.550054412153795,82.4925551297355,0.3048731963728508,12.893845155075287,1.4393415844694353,2.5065443655630246,0.10793491235785639,0.13716990220100103,0.06642792821092752,0.03413541077673766
3065083,2346,481,28383,426.2303886070322,22.6324776234957,82.69248884022285,0.3085481783126306,12.711511502466383,1.4146160367478793,2.501716642890115,0.11499695884617728,0.13681995474285735,0.06657718670041843,0.03452466147716961
3065682,2326,486,27821,429.8695732727733,22.725077691359356,82.84850493511765,0.3120423232387062,12.640873632531155,1.4209768614104794,2.4152221974330765,0.10914388465395715,0.13622566777014186,0.06336277510040679,0.03606605719758568
3066281,2321,487,27365,430.6836241165602,22.651146855879247,82.83618086989478,0.3238310169732416,12.573334654096445,1.4650134157948913,2.4369802187011445,0.10788624784119832,0.1357514783215398,0.06559311595295213,0.03561753571443953
3066880,2365,490,28440,422.7026848806436,21.872106662040277,83.08720060497208,0.2901008526335857,12.525187796235326,1.3863379956030466,2.352340441360781,0.09916604987299897,0.1376742644656256,0.06788605119183135,0.03673286331612793
3067479,2466,516,28970,405.5076042813493,21.801513570079603,83.17982842973262,0.27858372414128696,12.535578223430635,1.3894718060700433,2.2700315687669934,0.09695686818367061,0.13418246625669847,0.06358359235131557,0.034265392561774015
3068078,2451,520,29267,407.8393243570617,22.67200970362015,83.2200219743828,0.2833259786308508,12.439140176822818,1.389957201341302,2.296339315792436,0.10338726872451513,0.13536187175410877,0.06468331684302998,0.047105441963240624
3068677,2410,512,27495,414.88318756412536,82.94080904280418,81.57246536451429,0.30925392801029905,13.658120487886032,1.4381925696910407,2.47660369984529,0.1786901888838688,0.2352387673488591,0.07496939199283745,0.03758841679330976
3069276,2454,583,27496,407.45080846389413,83.67675668891074,80.36844961707773,0.30815504644124314,14.685423528817365,1.4793316502898606,2.655030958112427,0.17504086731608892,0.14093723464766097,0.07611181102105544,0.09265431384468953
3069875,2435,572,27855,410.65248984764384,84.82033991751221,81.01955978874393,0.3081946936306567,14.250257376448012,1.4253747922611717,2.5995534564825395,0.12676842361596766,0.13966291179718365,0.07634029786267699,0.03831387730278517
3070474,2513,531,28934,397.8813613272049,84.6333939505912,81.19923033829465,0.2927611056645574,14.156101590252224,1.4462987484243899,2.521692491819559,0.11956334907882507,0.14029296800397245,0.07352847557326747,0.03393928012121058
3071073,2468,567,28997,405.04294670363896,83.35358825527936,81.38953223210257,0.31961938924384153,13.886492384787557,1.4889783763772473,2.5167343493430607,0.13184147915203448,0.13978032090742581,0.0708015070837961,0.03625134372997569
3071672,2399,545,27303,416.67690997403685,86.6260246234475,81.60650615994311,0.3274247158575982,13.67262778543306,1.4558691234492847,2.543854203082492,0.12600309757614875,0.139961774060279,0.0701267239486304,0.037625924970655526
3072271,2370,530,27161,421.9270420635945,88.86223021982295,81.76684480426383,0.3170781721107913,13.588624509404331,1.4461971293771767,2.511183176249896,0.11451099921605955,0.13742163760011272,0.06548307692826988,0.03434486122397659
3072870,2363,521,27382,423.0411923669832,90.09719234624352,81.79239168876352,0.32087674441035674,13.616342250477615,1.4363094563243812,2.4612536571911083,0.11532102903923962,0.13676921749224566,0.06772889489795401,0.032912604766151286
