eval,fitness,prey_base_cost,prey_move_cost,prey_forage_rate,pred_base_cost,pred_move_cost,pred_bite_reward,pred_transfer_eff,pred_digest_time,prey_repro_thresh,pred_repro_thresh,maturity_age,prey_cooldown,pred_cooldown,cooldown_jitter,parent_energy_split,child_energy,spawn_offset,heading_jitter,pred_density_k,newborn_hunt_cooldown,max_prey,max_pred,refugia_strength,part_spawn_rate,part_initial_mass,part_deposit_rate,part_pickup_rate,part_cell_capacity,part_flow_strength,part_flow_scale,part_flow_octaves,part_flow_evolution
81,55.053012,0.005000,0.250000,0.025154,0.018210,0.043634,0.800000,0.759700,1.386845,0.651708,0.699826,15.000000,4.000000,20.000000,3.000000,0.700000,0.500000,30.000000,0.000000,79.582546,2.457140,600.000000,43.720739,1.500000,20.000000,0.002000,5.000000,0.100000,0.300000,13.063417,4.273036,4.000000,0.093475
82,54.723092,0.005000,0.050000,0.020000,0.020000,0.053958,0.611990,1.000000,0.777392,0.575234,0.535284,15.000000,4.000000,6.000000,2.728389,0.700000,0.416797,5.000000,0.554400,300.000000,1.615799,600.000000,200.000000,0.500000,20.000000,0.002000,5.000000,3.000000,2.000000,19.699340,5.000000,2.668560,0.150000
83,55.532530,0.005000,0.050000,0.028324,0.002000,0.010000,0.512663,0.600000,1.839593,0.500000,0.500000,2.000000,4.000000,20.000000,2.150460,0.539800,0.200000,5.000000,0.000000,300.000000,0.500000,370.633203,53.152783,0.990751,53.175832,0.029815,2.474758,3.000000,2.000000,61.443286,4.759486,2.559523,0.023879
84,53.917871,0.038579,0.250000,0.020000,0.002000,0.025248,0.800000,1.000000,0.206458,0.505086,0.500000,9.919629,4.000000,14.469699,3.000000,0.700000,0.228736,5.000000,0.000000,79.099796,3.969999,600.000000,40.000000,1.500000,20.000000,0.002000,3.652803,3.000000,0.300000,10.000000,1.199714,4.000000,0.005000
85,54.574363,0.005000,0.137013,0.020000,0.020000,0.080000,0.400000,1.000000,2.517523,0.500000,0.500000,15.000000,15.209872,12.431979,3.000000,0.700000,0.241829,5.000000,0.436504,0.000000,5.000000,282.749484,200.000000,0.500000,300.000000,0.002000,1.667671,0.100000,0.300000,73.909681,0.500000,1.000000,0.089567
86,55.814056,0.005000,0.050000,0.020000,0.002000,0.080000,0.642272,1.000000,2.730545,0.500000,0.928550,13.576022,4.000000,11.850854,1.575383,0.526017,0.200000,8.639451,1.000000,300.000000,5.000000,200.000000,40.000000,0.500000,194.843645,0.002000,0.500000,0.100000,0.300000,62.716240,2.239864,4.000000,0.150000
87,3.185768,0.025982,0.140459,0.020000,0.011891,0.071379,0.400000,0.600000,3.000000,0.500000,0.500000,2.000000,18.313678,6.000000,3.000000,0.400000,0.500000,21.486404,0.000000,0.000000,4.287484,200.000000,40.000000,0.500000,300.000000,0.027274,5.000000,2.569283,2.000000,55.015982,0.500000,1.000000,0.150000
88,53.795984,0.005000,0.250000,0.100000,0.002000,0.033190,0.687642,1.000000,3.000000,0.500000,0.530204,2.000000,20.000000,13.715078,3.000000,0.694192,0.353227,16.826092,1.000000,147.653705,5.000000,399.746615,40.000000,1.500000,20.000000,0.002000,4.525367,0.523038,0.300000,13.935346,0.500000,2.622777,0.147200
89,53.420683,0.041722,0.050000,0.048998,0.006733,0.010000,0.400000,1.000000,0.200000,0.500000,0.508577,7.946624,10.355029,6.000000,1.892159,0.700000,0.455519,10.311084,0.000000,0.000000,0.500000,200.000000,200.000000,0.500000,300.000000,0.002000,5.000000,0.100000,0.539895,49.381692,2.458233,1.000000,0.005000
90,55.176506,0.005000,0.134715,0.040741,0.002000,0.080000,0.800000,0.895887,1.548866,0.616633,0.500000,6.015856,4.000000,6.000000,1.118266,0.400000,0.200000,5.000000,0.000000,220.706205,2.424292,200.000000,40.000000,1.500000,300.000000,0.002000,5.000000,0.100000,0.533031,66.385438,4.177835,1.000000,0.062480
